sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Reed Clapper,GTX Basic,Silis,Lost,2017-04-05,2017-04-06,0.0
Reed Clapper,GTX Plus Basic,Xx-zobam,Won,2017-04-05,2017-08-02,1091.0
Reed Clapper,GTX Plus Pro,Bioplex,Won,2017-04-05,2017-04-12,5095.0
Reed Clapper,MG Special,Condax,Won,2017-04-05,2017-08-02,51.0
Rosalina Dieter,MG Special,Green-Plus,Won,2017-04-05,2017-06-19,62.0
Vicki Laflamme,GTX Basic,Zoomit,Won,2017-04-05,2017-06-28,550.0
Violet Mclelland,MG Special,Gekko & Co,Won,2017-04-05,2017-04-07,45.0
Zane Levy,GTX Basic,unknown,Engaging,2017-04-05,,472.0
Anna Snelling,GTX Basic,Dontechi,Won,2017-04-06,2017-06-09,527.0
Cassey Cress,GTX Basic,Kinnamplus,Lost,2017-04-06,2017-04-15,0.0
Cassey Cress,GTX Plus Basic,Xx-zobam,Lost,2017-04-06,2017-05-30,0.0
Daniell Hammack,MG Advanced,unknown,Engaging,2017-04-06,,472.0
Darcel Schlecht,MG Advanced,Domzoom,Lost,2017-04-06,2017-04-08,0.0
Darcel Schlecht,MG Special,Rundofase,Won,2017-04-06,2017-04-14,64.0
Donn Cantrell,MG Advanced,Plussunin,Won,2017-04-06,2017-04-15,3655.0
Elease Gluck,GTK 500,unknown,Engaging,2017-04-06,,472.0
Elease Gluck,MG Special,unknown,Engaging,2017-04-06,,472.0
Gladys Colclough,MG Special,Bioholding,Lost,2017-04-06,2017-04-16,0.0
Gladys Colclough,MG Advanced,Rundofase,Lost,2017-04-06,2017-04-13,0.0
Hayden Neloms,MG Advanced,unknown,Engaging,2017-04-06,,472.0
James Ascencio,GTX Basic,Finjob,Won,2017-04-06,2017-05-21,561.0
Kami Bicknell,GTX Plus Basic,unknown,Engaging,2017-04-06,,472.0
Kary Hendrixson,GTX Basic,Hatfan,Lost,2017-04-06,2017-08-06,0.0
Kary Hendrixson,GTX Plus Basic,Faxquote,Lost,2017-04-06,2017-04-16,0.0
Kary Hendrixson,GTX Plus Pro,Plexzap,Won,2017-04-06,2017-04-07,6154.0
Kary Hendrixson,GTXPro,Cheers,Won,2017-04-06,2017-04-12,4756.0
Lajuana Vencill,GTX Basic,Streethex,Lost,2017-04-06,2017-04-14,0.0
Lajuana Vencill,MG Special,Gogozoom,Won,2017-04-06,2017-05-30,61.0
Moses Frase,GTX Basic,Warephase,Won,2017-04-06,2017-06-24,575.0
Moses Frase,GTX Plus Basic,Finhigh,Won,2017-04-06,2017-05-22,1147.0
Moses Frase,MG Advanced,Funholding,Won,2017-04-06,2017-06-12,3161.0
Niesha Huffines,GTX Basic,Isdom,Lost,2017-04-06,2017-04-16,0.0
Vicki Laflamme,MG Advanced,Condax,Lost,2017-04-06,2017-04-14,0.0
Vicki Laflamme,GTX Basic,Scotfind,Won,2017-04-06,2017-05-04,525.0
Zane Levy,GTXPro,Dalttechnology,Won,2017-04-06,2017-04-12,4168.0
Anna Snelling,GTX Basic,Warephase,Won,2017-04-07,2017-04-08,596.0
Boris Faz,GTXPro,unknown,Engaging,2017-04-07,,472.0
Boris Faz,MG Special,Zotware,Won,2017-04-07,2017-04-15,59.0
Cassey Cress,GTXPro,Ontomedia,Lost,2017-04-07,2017-05-14,0.0
Corliss Cosme,MG Advanced,unknown,Engaging,2017-04-07,,472.0
Corliss Cosme,GTX Plus Pro,Konex,Won,2017-04-07,2017-04-15,5684.0
Daniell Hammack,MG Advanced,Kan-code,Lost,2017-04-07,2017-04-15,0.0
Darcel Schlecht,GTXPro,Gogozoom,Won,2017-04-07,2017-04-15,4413.0
Donn Cantrell,MG Advanced,Opentech,Lost,2017-04-07,2017-04-17,0.0
Donn Cantrell,MG Advanced,Vehement Capital Partners,Lost,2017-04-07,2017-04-15,0.0
Donn Cantrell,GTXPro,Mathtouch,Won,2017-04-07,2017-04-13,4152.0
Elease Gluck,MG Special,Dalttechnology,Won,2017-04-07,2017-06-24,51.0
Garret Kinder,GTX Basic,Zathunicon,Lost,2017-04-07,2017-04-15,0.0
Gladys Colclough,MG Advanced,Toughzap,Lost,2017-04-07,2017-04-18,0.0
James Ascencio,GTX Plus Basic,Sonron,Won,2017-04-07,2017-05-18,1103.0
Jonathan Berthelot,GTX Plus Basic,Warephase,Won,2017-04-07,2017-04-09,1091.0
Jonathan Berthelot,GTX Plus Basic,Zumgoity,Won,2017-04-07,2017-04-17,1189.0
Jonathan Berthelot,GTXPro,Streethex,Won,2017-04-07,2017-06-27,4534.0
Kami Bicknell,GTX Basic,Golddex,Lost,2017-04-07,2017-05-12,0.0
Kami Bicknell,GTX Plus Basic,Konex,Lost,2017-04-07,2017-04-16,0.0
Kary Hendrixson,GTX Basic,unknown,Engaging,2017-04-07,,472.0
Kary Hendrixson,MG Advanced,unknown,Engaging,2017-04-07,,472.0
Lajuana Vencill,GTX Basic,Codehow,Lost,2017-04-07,2017-04-16,0.0
Markita Hansen,GTX Basic,Condax,Won,2017-04-07,2017-04-13,522.0
Markita Hansen,GTXPro,Goodsilron,Won,2017-04-07,2017-05-27,5012.0
Maureen Marcano,GTX Plus Basic,Rantouch,Won,2017-04-07,2017-04-08,1109.0
Moses Frase,GTX Plus Pro,Genco Pura Olive Oil Company,Won,2017-04-07,2017-04-13,4659.0
Niesha Huffines,GTX Basic,Cancity,Lost,2017-04-07,2017-04-16,0.0
Versie Hillebrand,GTX Plus Pro,Codehow,Lost,2017-04-07,2017-06-13,0.0
Versie Hillebrand,GTX Plus Pro,Treequote,Lost,2017-04-07,2017-04-09,0.0
Versie Hillebrand,MG Special,Konmatfix,Lost,2017-04-07,2017-05-30,0.0
Versie Hillebrand,MG Advanced,Rangreen,Lost,2017-04-07,2017-04-12,0.0
Vicki Laflamme,GTX Basic,unknown,Engaging,2017-04-07,,472.0
Vicki Laflamme,MG Advanced,Konex,Lost,2017-04-07,2017-04-16,0.0
Zane Levy,MG Advanced,Finjob,Lost,2017-04-07,2017-04-13,0.0
Anna Snelling,MG Advanced,dambase,Lost,2017-04-08,2017-04-15,0.0
Anna Snelling,GTX Plus Basic,Stanredtax,Won,2017-04-08,2017-04-15,1142.0
Cassey Cress,GTXPro,unknown,Engaging,2017-04-08,,472.0
Corliss Cosme,GTX Basic,Zathunicon,Won,2017-04-08,2017-05-27,491.0
Daniell Hammack,GTX Plus Pro,Y-corporation,Engaging,2017-04-08,,472.0
Darcel Schlecht,GTXPro,Finhigh,Lost,2017-04-08,2017-04-18,0.0
Darcel Schlecht,MG Special,Domzoom,Lost,2017-04-08,2017-04-14,0.0
Darcel Schlecht,GTXPro,Funholding,Won,2017-04-08,2017-04-09,5678.0
Donn Cantrell,GTXPro,Bioplex,Lost,2017-04-08,2017-04-16,0.0
Donn Cantrell,GTX Basic,Sumace,Won,2017-04-08,2017-06-14,547.0
Garret Kinder,GTX Basic,Umbrella Corporation,Lost,2017-04-08,2017-04-16,0.0
Hayden Neloms,GTX Plus Basic,Singletechno,Won,2017-04-08,2017-05-25,935.0
Hayden Neloms,GTX Plus Pro,Scotfind,Won,2017-04-08,2017-04-10,4761.0
Hayden Neloms,MG Advanced,Newex,Won,2017-04-08,2017-04-14,3224.0
Kami Bicknell,GTX Basic,Sunnamplex,Won,2017-04-08,2017-04-17,501.0
Lajuana Vencill,MG Advanced,Statholdings,Won,2017-04-08,2017-04-17,3532.0
Markita Hansen,MG Advanced,unknown,Engaging,2017-04-08,,472.0
Maureen Marcano,GTXPro,Xx-holding,Won,2017-04-08,2017-04-12,4320.0
Moses Frase,MG Special,Genco Pura Olive Oil Company,Lost,2017-04-08,2017-04-10,0.0
Reed Clapper,GTX Plus Basic,Zotware,Won,2017-04-08,2017-06-11,1123.0
Rosie Papadopoulos,GTXPro,Xx-zobam,Won,2017-04-08,2017-04-09,5217.0
Versie Hillebrand,MG Special,Codehow,Lost,2017-04-08,2017-05-27,0.0
Vicki Laflamme,GTXPro,unknown,Engaging,2017-04-08,,472.0
Vicki Laflamme,GTX Basic,Labdrill,Won,2017-04-08,2017-06-10,595.0
Vicki Laflamme,GTX Plus Pro,Konex,Won,2017-04-08,2017-04-16,5848.0
Zane Levy,GTX Basic,Faxquote,Lost,2017-04-08,2017-04-09,0.0
Zane Levy,MG Special,Plexzap,Lost,2017-04-08,2017-04-13,0.0
Zane Levy,GTX Plus Pro,Xx-holding,Won,2017-04-08,2017-04-17,5884.0
Anna Snelling,MG Advanced,Betatech,Won,2017-04-09,2017-06-02,3666.0
Boris Faz,GTX Basic,Zathunicon,Lost,2017-04-09,2017-04-18,0.0
Cassey Cress,GTX Basic,Konex,Won,2017-04-09,2017-04-20,598.0
Cassey Cress,MG Advanced,Initech,Won,2017-04-09,2017-04-16,3275.0
Cecily Lampkin,GTX Basic,Funholding,Lost,2017-04-09,2017-04-10,0.0
Cecily Lampkin,GTX Basic,Isdom,Lost,2017-04-09,2017-04-18,0.0
Cecily Lampkin,MG Special,Zumgoity,Lost,2017-04-09,2017-04-20,0.0
Corliss Cosme,MG Advanced,unknown,Engaging,2017-04-09,,472.0
Daniell Hammack,GTXPro,Betasoloin,Lost,2017-04-09,2017-05-30,0.0
Darcel Schlecht,GTXPro,Ron-tech,Won,2017-04-09,2017-04-18,4978.0
Elease Gluck,MG Special,Dalttechnology,Won,2017-04-09,2017-05-29,56.0
Gladys Colclough,MG Advanced,Inity,Won,2017-04-09,2017-04-14,3077.0
Hayden Neloms,GTX Plus Basic,Hottechi,Won,2017-04-09,2017-04-17,974.0
Kami Bicknell,GTX Plus Basic,Cheers,Won,2017-04-09,2017-04-10,915.0
Kary Hendrixson,GTX Plus Basic,Singletechno,Lost,2017-04-09,2017-08-12,0.0
Kary Hendrixson,MG Advanced,Blackzim,Lost,2017-04-09,2017-04-16,0.0
Kary Hendrixson,GTX Plus Basic,Condax,Won,2017-04-09,2017-06-20,983.0
Marty Freudenburg,GTX Plus Basic,Inity,Won,2017-04-09,2017-04-10,1204.0
Moses Frase,GTX Plus Pro,Condax,Lost,2017-04-09,2017-04-16,0.0
Niesha Huffines,GTX Plus Basic,Konmatfix,Won,2017-04-09,2017-04-10,970.0
Reed Clapper,GTX Basic,Betasoloin,Won,2017-04-09,2017-04-16,575.0
Rosie Papadopoulos,GTX Plus Pro,Ganjaflex,Won,2017-04-09,2017-06-18,5986.0
Versie Hillebrand,GTX Plus Basic,Finhigh,Lost,2017-04-09,2017-04-21,0.0
Vicki Laflamme,MG Special,Rantouch,Won,2017-04-09,2017-06-16,64.0
Violet Mclelland,MG Special,unknown,Engaging,2017-04-09,,472.0
Zane Levy,GTX Plus Basic,Zencorporation,Engaging,2017-04-09,,472.0
Zane Levy,GTX Basic,Scotfind,Lost,2017-04-09,2017-04-15,0.0
Zane Levy,MG Advanced,J-Texon,Won,2017-04-09,2017-06-26,3070.0
Anna Snelling,MG Special,Finhigh,Lost,2017-04-10,2017-04-11,0.0
Boris Faz,GTX Basic,Initech,Lost,2017-04-10,2017-04-11,0.0
Cassey Cress,GTX Plus Basic,Mathtouch,Lost,2017-04-10,2017-04-17,0.0
Cecily Lampkin,MG Special,Rangreen,Lost,2017-04-10,2017-04-20,0.0
Cecily Lampkin,MG Advanced,Isdom,Won,2017-04-10,2017-04-18,3409.0
Daniell Hammack,GTX Plus Pro,Acme Corporation,Won,2017-04-10,2017-06-11,5721.0
Daniell Hammack,GTXPro,Ganjaflex,Won,2017-04-10,2017-06-28,5039.0
Daniell Hammack,GTXPro,Xx-zobam,Won,2017-04-10,2017-04-11,5000.0
Darcel Schlecht,GTX Basic,Hottechi,Lost,2017-04-10,2017-04-18,0.0
Darcel Schlecht,GTXPro,Codehow,Lost,2017-04-10,2017-04-18,0.0
Darcel Schlecht,GTX Plus Pro,Gogozoom,Won,2017-04-10,2017-04-16,4955.0
Darcel Schlecht,GTXPro,Condax,Won,2017-04-10,2017-04-17,5065.0
Darcel Schlecht,GTXPro,Globex Corporation,Won,2017-04-10,2017-04-17,4343.0
Darcel Schlecht,GTXPro,Stanredtax,Won,2017-04-10,2017-04-20,3892.0
Gladys Colclough,GTX Basic,Warephase,Lost,2017-04-10,2017-04-20,0.0
Hayden Neloms,MG Advanced,unknown,Engaging,2017-04-10,,472.0
James Ascencio,MG Advanced,Cheers,Lost,2017-04-10,2017-04-11,0.0
Jonathan Berthelot,GTX Plus Basic,Conecom,Won,2017-04-10,2017-06-27,1115.0
Kami Bicknell,GTX Basic,Kan-code,Won,2017-04-10,2017-04-16,533.0
Kami Bicknell,GTX Plus Basic,Cheers,Won,2017-04-10,2017-04-13,1290.0
Kary Hendrixson,GTX Basic,Hottechi,Lost,2017-04-10,2017-04-12,0.0
Kary Hendrixson,GTX Plus Basic,Green-Plus,Lost,2017-04-10,2017-06-13,0.0
Lajuana Vencill,MG Special,Dontechi,Lost,2017-04-10,2017-04-12,0.0
Lajuana Vencill,GTX Plus Basic,Codehow,Won,2017-04-10,2017-06-02,1047.0
Lajuana Vencill,MG Special,Gogozoom,Won,2017-04-10,2017-04-18,47.0
Markita Hansen,MG Advanced,Funholding,Engaging,2017-04-10,,472.0
Marty Freudenburg,GTX Basic,Condax,Lost,2017-04-10,2017-04-21,0.0
Marty Freudenburg,GTXPro,Rangreen,Won,2017-04-10,2017-06-09,4413.0
Maureen Marcano,GTX Plus Basic,Hottechi,Won,2017-04-10,2017-06-26,950.0
Reed Clapper,GTXPro,Plussunin,Lost,2017-04-10,2017-04-16,0.0
Reed Clapper,GTXPro,The New York Inquirer,Won,2017-04-10,2017-04-20,4136.0
Versie Hillebrand,MG Special,Rundofase,Won,2017-04-10,2017-04-18,62.0
Vicki Laflamme,MG Special,J-Texon,Lost,2017-04-10,2017-04-18,0.0
Zane Levy,MG Advanced,unknown,Engaging,2017-04-10,,472.0
Zane Levy,GTX Basic,Goodsilron,Won,2017-04-10,2017-04-11,467.0
Boris Faz,GTX Plus Basic,Gekko & Co,Won,2017-04-11,2017-06-11,1075.0
Cecily Lampkin,MG Special,Betatech,Lost,2017-04-11,2017-04-19,0.0
Daniell Hammack,MG Special,Ontomedia,Won,2017-04-11,2017-04-13,52.0
Darcel Schlecht,GTXPro,Inity,Lost,2017-04-11,2017-04-19,0.0
Darcel Schlecht,GTXPro,Inity,Lost,2017-04-11,2017-04-12,0.0
Darcel Schlecht,GTXPro,Condax,Won,2017-04-11,2017-04-18,4837.0
Donn Cantrell,GTX Plus Basic,Plussunin,Lost,2017-04-11,2017-04-18,0.0
Elease Gluck,GTX Basic,Faxquote,Lost,2017-04-11,2017-06-22,0.0
Elease Gluck,GTX Plus Basic,Xx-holding,Won,2017-04-11,2017-04-13,1163.0
Gladys Colclough,GTX Basic,Rundofase,Lost,2017-04-11,2017-04-21,0.0
James Ascencio,GTX Plus Pro,Rantouch,Lost,2017-04-11,2017-06-10,0.0
Kami Bicknell,GTX Basic,Konex,Lost,2017-04-11,2017-04-13,0.0
Kary Hendrixson,GTX Plus Basic,unknown,Engaging,2017-04-11,,472.0
Kary Hendrixson,GTX Basic,Groovestreet,Lost,2017-04-11,2017-04-13,0.0
Kary Hendrixson,GTX Basic,Singletechno,Lost,2017-04-11,2017-04-18,0.0
Kary Hendrixson,GTX Basic,Doncon,Won,2017-04-11,2017-04-18,568.0
Kary Hendrixson,GTXPro,Rantouch,Won,2017-04-11,2017-06-19,5063.0
Moses Frase,MG Advanced,dambase,Lost,2017-04-11,2017-04-21,0.0
Moses Frase,MG Special,Rundofase,Won,2017-04-11,2017-06-06,46.0
Niesha Huffines,MG Advanced,dambase,Lost,2017-04-11,2017-04-12,0.0
Niesha Huffines,GTX Basic,Gogozoom,Won,2017-04-11,2017-04-12,504.0
Niesha Huffines,MG Special,Gogozoom,Won,2017-04-11,2017-04-13,55.0
Rosalina Dieter,GTXPro,Hatfan,Won,2017-04-11,2017-06-17,4760.0
Versie Hillebrand,GTX Basic,Cancity,Lost,2017-04-11,2017-04-21,0.0
Versie Hillebrand,MG Advanced,Funholding,Lost,2017-04-11,2017-04-18,0.0
Vicki Laflamme,GTXPro,Fasehatice,Won,2017-04-11,2017-06-21,4653.0
Violet Mclelland,MG Special,unknown,Engaging,2017-04-11,,472.0
Violet Mclelland,MG Special,Opentech,Lost,2017-04-11,2017-04-22,0.0
Violet Mclelland,MG Special,Massive Dynamic,Won,2017-04-11,2017-04-12,55.0
Anna Snelling,GTX Basic,Rundofase,Lost,2017-04-12,2017-04-18,0.0
Boris Faz,GTX Plus Basic,Genco Pura Olive Oil Company,Engaging,2017-04-12,,472.0
Boris Faz,MG Advanced,Konex,Won,2017-04-12,2017-04-22,3223.0
Cassey Cress,GTX Plus Pro,Betasoloin,Lost,2017-04-12,2017-04-17,0.0
Cassey Cress,GTX Basic,Zathunicon,Won,2017-04-12,2017-04-19,553.0
Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2017-04-12,2017-04-14,1114.0
Cecily Lampkin,MG Advanced,dambase,Won,2017-04-12,2017-04-20,3785.0
Corliss Cosme,GTX Plus Pro,Rangreen,Engaging,2017-04-12,,472.0
Darcel Schlecht,GTX Plus Basic,Streethex,Lost,2017-04-12,2017-04-14,0.0
Darcel Schlecht,MG Advanced,Gogozoom,Lost,2017-04-12,2017-06-28,0.0
Donn Cantrell,GTXPro,Yearin,Won,2017-04-12,2017-04-13,5316.0
Hayden Neloms,MG Special,Goodsilron,Lost,2017-04-12,2017-04-16,0.0
Jonathan Berthelot,GTXPro,Cancity,Lost,2017-04-12,2017-04-24,0.0
Jonathan Berthelot,GTX Basic,Dontechi,Won,2017-04-12,2017-06-23,531.0
Jonathan Berthelot,GTX Basic,Rangreen,Won,2017-04-12,2017-06-16,544.0
Kami Bicknell,GTX Basic,Y-corporation,Won,2017-04-12,2017-04-13,478.0
Kami Bicknell,GTXPro,Finjob,Won,2017-04-12,2017-04-22,5672.0
Kami Bicknell,MG Special,Goodsilron,Won,2017-04-12,2017-04-19,51.0
Kami Bicknell,MG Advanced,Konex,Won,2017-04-12,2017-04-19,3141.0
Kary Hendrixson,GTXPro,unknown,Engaging,2017-04-12,,472.0
Kary Hendrixson,GTXPro,Doncon,Lost,2017-04-12,2017-04-13,0.0
Kary Hendrixson,MG Special,Groovestreet,Lost,2017-04-12,2017-04-16,0.0
Markita Hansen,MG Special,Golddex,Lost,2017-04-12,2017-04-13,0.0
Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2017-04-12,2017-04-13,0.0
Marty Freudenburg,GTX Plus Pro,Hottechi,Lost,2017-04-12,2017-04-14,0.0
Moses Frase,GTX Plus Pro,Conecom,Lost,2017-04-12,2017-04-22,0.0
Reed Clapper,GTX Plus Pro,Kan-code,Won,2017-04-12,2017-06-21,5393.0
Rosalina Dieter,MG Special,Dontechi,Engaging,2017-04-12,,472.0
Versie Hillebrand,MG Special,Statholdings,Lost,2017-04-12,2017-04-19,0.0
Vicki Laflamme,MG Special,unknown,Engaging,2017-04-12,,472.0
Vicki Laflamme,MG Advanced,Lexiqvolax,Engaging,2017-04-12,,472.0
Vicki Laflamme,GTX Plus Pro,Green-Plus,Lost,2017-04-12,2017-04-19,0.0
Vicki Laflamme,GTX Basic,Hottechi,Won,2017-04-12,2017-06-06,638.0
Vicki Laflamme,MG Special,J-Texon,Won,2017-04-12,2017-04-23,50.0
Violet Mclelland,MG Advanced,Bioplex,Lost,2017-04-12,2017-04-18,0.0
Zane Levy,GTXPro,Hatfan,Won,2017-04-12,2017-04-22,4272.0
Anna Snelling,GTX Plus Basic,Bioholding,Lost,2017-04-13,2017-04-15,0.0
Anna Snelling,MG Special,Inity,Won,2017-04-13,2017-04-15,58.0
Boris Faz,GTX Plus Basic,Ontomedia,Won,2017-04-13,2017-04-14,1088.0
Corliss Cosme,GTX Basic,Donquadtech,Lost,2017-04-13,2017-04-23,0.0
Corliss Cosme,GTXPro,Silis,Lost,2017-04-13,2017-04-18,0.0
Daniell Hammack,GTX Basic,Plussunin,Lost,2017-04-13,2017-04-20,0.0
Daniell Hammack,GTXPro,Kan-code,Lost,2017-04-13,2017-05-13,0.0
Darcel Schlecht,GTX Basic,Betatech,Lost,2017-04-13,2017-04-20,0.0
Darcel Schlecht,GTXPro,Globex Corporation,Lost,2017-04-13,2017-04-14,0.0
Darcel Schlecht,GTX Plus Basic,Domzoom,Won,2017-04-13,2017-04-19,1327.0
Darcel Schlecht,GTX Plus Basic,Dontechi,Won,2017-04-13,2017-06-27,923.0
Darcel Schlecht,GTX Plus Basic,Scottech,Won,2017-04-13,2017-04-23,1058.0
Darcel Schlecht,GTX Plus Pro,Streethex,Won,2017-04-13,2017-04-21,5220.0
Gladys Colclough,GTX Plus Pro,Condax,Lost,2017-04-13,2017-04-19,0.0
Gladys Colclough,MG Special,Ron-tech,Won,2017-04-13,2017-04-22,55.0
Hayden Neloms,MG Advanced,Dalttechnology,Lost,2017-04-13,2017-04-20,0.0
Hayden Neloms,MG Special,Hatfan,Won,2017-04-13,2017-06-23,62.0
James Ascencio,GTX Plus Basic,Golddex,Won,2017-04-13,2017-04-20,996.0
Kami Bicknell,GTXPro,unknown,Engaging,2017-04-13,,472.0
Kami Bicknell,GTX Basic,Rantouch,Lost,2017-04-13,2017-06-09,0.0
Kami Bicknell,GTX Basic,Hottechi,Won,2017-04-13,2017-04-22,543.0
Kary Hendrixson,GTXPro,Hatfan,Lost,2017-04-13,2017-04-19,0.0
Kary Hendrixson,GTXPro,Y-corporation,Lost,2017-04-13,2017-04-21,0.0
Moses Frase,MG Special,Warephase,Lost,2017-04-13,2017-08-16,0.0
Niesha Huffines,GTX Plus Basic,Scottech,Lost,2017-04-13,2017-06-16,0.0
Versie Hillebrand,MG Special,Finhigh,Lost,2017-04-13,2017-05-26,0.0
Versie Hillebrand,MG Special,Bioholding,Won,2017-04-13,2017-04-22,56.0
Vicki Laflamme,GTX Plus Pro,Kan-code,Lost,2017-04-13,2017-04-20,0.0
Vicki Laflamme,MG Advanced,Blackzim,Lost,2017-04-13,2017-04-23,0.0
Violet Mclelland,GTX Plus Basic,Sumace,Won,2017-04-13,2017-06-10,1145.0
Wilburn Farren,GTXPro,Silis,Lost,2017-04-13,2017-04-26,0.0
Zane Levy,GTX Basic,unknown,Engaging,2017-04-13,,472.0
Zane Levy,MG Advanced,unknown,Engaging,2017-04-13,,472.0
Cassey Cress,GTX Plus Pro,Zencorporation,Lost,2017-04-14,2017-04-19,0.0
Cassey Cress,GTXPro,Bluth Company,Lost,2017-04-14,2017-04-22,0.0
Cassey Cress,MG Advanced,Umbrella Corporation,Lost,2017-04-14,2017-04-19,0.0
Corliss Cosme,GTX Plus Basic,Massive Dynamic,Won,2017-04-14,2017-04-23,1033.0
Daniell Hammack,MG Advanced,The New York Inquirer,Lost,2017-04-14,2017-04-20,0.0
Darcel Schlecht,GTX Plus Basic,Gogozoom,Lost,2017-04-14,2017-04-15,0.0
Darcel Schlecht,GTXPro,Treequote,Lost,2017-04-14,2017-04-16,0.0
Darcel Schlecht,GTXPro,Cancity,Won,2017-04-14,2017-08-14,4359.0
Darcel Schlecht,GTXPro,Warephase,Won,2017-04-14,2017-06-02,4575.0
Darcel Schlecht,MG Special,Finhigh,Won,2017-04-14,2017-04-22,53.0
Elease Gluck,GTX Basic,J-Texon,Won,2017-04-14,2017-04-16,597.0
Elease Gluck,MG Advanced,Zoomit,Won,2017-04-14,2017-06-16,3179.0
Gladys Colclough,GTX Basic,Globex Corporation,Lost,2017-04-14,2017-06-16,0.0
Gladys Colclough,MG Special,Stanredtax,Won,2017-04-14,2017-04-15,57.0
Hayden Neloms,MG Advanced,Hottechi,Lost,2017-04-14,2017-04-15,0.0
Hayden Neloms,MG Advanced,Scotfind,Won,2017-04-14,2017-04-24,2997.0
James Ascencio,GTX Basic,Faxquote,Won,2017-04-14,2017-05-29,545.0
Jonathan Berthelot,GTX Basic,Zumgoity,Won,2017-04-14,2017-04-25,565.0
Jonathan Berthelot,MG Special,Treequote,Won,2017-04-14,2017-04-24,54.0
Kami Bicknell,GTXPro,unknown,Engaging,2017-04-14,,472.0
Kami Bicknell,GTX Basic,J-Texon,Lost,2017-04-14,2017-04-15,0.0
Kami Bicknell,GTXPro,Sunnamplex,Won,2017-04-14,2017-04-21,4991.0
Markita Hansen,GTX Basic,unknown,Engaging,2017-04-14,,472.0
Markita Hansen,MG Special,unknown,Engaging,2017-04-14,,472.0
Maureen Marcano,GTX Plus Pro,Hottechi,Lost,2017-04-14,2017-04-19,0.0
Maureen Marcano,MG Advanced,Blackzim,Lost,2017-04-14,2017-04-16,0.0
Rosie Papadopoulos,GTXPro,Silis,Won,2017-04-14,2017-06-16,5546.0
Vicki Laflamme,MG Special,Hottechi,Won,2017-04-14,2017-04-20,59.0
Anna Snelling,GTX Plus Basic,Statholdings,Lost,2017-04-15,2017-04-23,0.0
Anna Snelling,MG Special,Statholdings,Lost,2017-04-15,2017-04-20,0.0
Anna Snelling,GTX Plus Pro,Statholdings,Won,2017-04-15,2017-04-16,5082.0
Boris Faz,GTX Plus Pro,Iselectrics,Won,2017-04-15,2017-04-24,5293.0
Cecily Lampkin,GTX Plus Basic,Hottechi,Won,2017-04-15,2017-06-27,1163.0
Donn Cantrell,MG Special,Ganjaflex,Won,2017-04-15,2017-04-16,49.0
Garret Kinder,MG Special,Donquadtech,Won,2017-04-15,2017-05-01,53.0
Gladys Colclough,MG Advanced,Betatech,Lost,2017-04-15,2017-04-16,0.0
Gladys Colclough,MG Advanced,Gogozoom,Lost,2017-04-15,2017-06-12,0.0
Hayden Neloms,GTX Plus Basic,Lexiqvolax,Lost,2017-04-15,2017-04-24,0.0
Kami Bicknell,GTX Plus Basic,unknown,Engaging,2017-04-15,,472.0
Kami Bicknell,GTX Basic,Fasehatice,Lost,2017-04-15,2017-04-21,0.0
Kary Hendrixson,GTX Basic,unknown,Engaging,2017-04-15,,472.0
Kary Hendrixson,GTX Basic,Sunnamplex,Lost,2017-04-15,2017-08-07,0.0
Moses Frase,MG Advanced,Codehow,Lost,2017-04-15,2017-04-17,0.0
Versie Hillebrand,MG Advanced,Finhigh,Won,2017-04-15,2017-05-19,3641.0
Violet Mclelland,MG Special,Plusstrip,Engaging,2017-04-15,,472.0
Violet Mclelland,GTX Basic,Condax,Lost,2017-04-15,2017-04-17,0.0
Zane Levy,GTX Basic,Condax,Won,2017-04-15,2017-05-23,501.0
Zane Levy,GTX Plus Pro,Konex,Won,2017-04-15,2017-04-20,4687.0
Anna Snelling,GTX Basic,dambase,Won,2017-04-16,2017-06-23,626.0
Anna Snelling,GTX Basic,Finhigh,Won,2017-04-16,2017-08-03,489.0
Cassey Cress,GTXPro,Zencorporation,Won,2017-04-16,2017-04-27,4852.0
Cecily Lampkin,MG Advanced,Warephase,Lost,2017-04-16,2017-06-28,0.0
Daniell Hammack,GTX Plus Basic,Bubba Gump,Won,2017-04-16,2017-06-06,1192.0
Daniell Hammack,GTXPro,Donquadtech,Won,2017-04-16,2017-04-17,5104.0
Darcel Schlecht,GTXPro,Codehow,Won,2017-04-16,2017-08-09,5820.0
Donn Cantrell,MG Advanced,Acme Corporation,Won,2017-04-16,2017-08-05,3012.0
Garret Kinder,GTX Plus Pro,Sumace,Lost,2017-04-16,2017-04-22,0.0
Garret Kinder,GTXPro,Mathtouch,Lost,2017-04-16,2017-04-18,0.0
Garret Kinder,GTXPro,Konex,Won,2017-04-16,2017-04-23,3930.0
Gladys Colclough,GTX Plus Basic,Domzoom,Won,2017-04-16,2017-04-22,1055.0
Hayden Neloms,MG Advanced,Blackzim,Lost,2017-04-16,2017-04-22,0.0
Jonathan Berthelot,GTX Basic,Scottech,Won,2017-04-16,2017-04-24,538.0
Jonathan Berthelot,MG Special,Domzoom,Won,2017-04-16,2017-04-23,68.0
